frame,tid,cls,cx,cy,yaw,vx,vy,heading,hit,speed,moving,score,length,width,is_vehicle
0,1,Car,7.069495,-19.092510,-1.481067,0.000000,0.000000,,1,0.000000,0,92.000000,1.008153,0.543753,1
0,2,Car,12.371468,-6.692819,-3.313634,0.000000,0.000000,,1,0.000000,0,918.000000,2.822746,1.760838,1
0,3,Car,14.695926,30.259607,-3.741503,0.000000,0.000000,,1,0.000000,0,5.000000,0.547295,0.281858,0
0,4,Car,30.956562,-27.816603,-3.312927,0.000000,0.000000,,1,0.000000,0,14.000000,1.560768,0.451138,0
0,5,Car,22.388079,8.093415,-2.760779,0.000000,0.000000,,1,0.000000,0,22.000000,0.958763,0.318295,0
0,6,Car,17.283369,11.198191,-1.771159,0.000000,0.000000,,1,0.000000,0,214.000000,3.169070,1.313524,1
0,7,Car,16.856041,37.701538,-1.806546,0.000000,0.000000,,1,0.000000,0,5.000000,0.517576,0.029583,0
0,8,Car,40.230064,-9.118345,-0.947088,0.000000,0.000000,,1,0.000000,0,18.000000,1.230755,0.238592,0
0,9,Car,40.410744,-0.486979,-2.982406,0.000000,0.000000,,1,0.000000,0,19.000000,1.008988,0.108410,0
1,1,Car,7.514033,-19.090223,-1.433754,0.367832,0.001892,0.005145,1,0.367837,0,98.000000,0.985332,0.454227,1
1,2,Car,13.546175,-6.539660,-3.351382,0.972008,0.126731,0.129649,1,0.980235,0,1205.000000,2.994621,1.832060,1
1,3,Car,14.719121,30.388147,-3.322291,0.019193,0.106360,1.392268,1,0.108078,0,6.000000,0.951317,0.318084,0
1,4,Car,30.981095,-28.108689,-3.062861,0.020300,-0.241686,-1.487000,1,0.242537,0,17.000000,3.409565,0.746542,1
1,5,Car,21.673943,7.858530,-2.851761,-0.590909,-0.194355,-2.823830,1,0.622051,0,21.000000,0.752126,0.228405,0
1,6,Car,16.793796,11.082848,-1.870095,-0.405096,-0.095440,-2.910214,1,0.416187,0,127.000000,3.004837,0.960505,1
1,8,Car,40.193735,-9.174236,-0.890963,-0.030061,-0.046247,-2.147178,1,0.055158,0,18.000000,1.251007,0.486576,0
1,9,Car,41.216761,-0.523824,-3.135286,0.666937,-0.030487,-0.045680,1,0.667633,0,4.000000,0.524384,0.023136,0
